Episode 162/500 | Reward: 91.0 | Epsilon: 0.194
Episode 163/500 | Reward: -325.0 | Epsilon: 0.192
Episode 164/500 | Reward: -310.0 | Epsilon: 0.190
Episode 165/500 | Reward: 87.0 | Epsilon: 0.189
Episode 166/500 | Reward: -136.0 | Epsilon: 0.187
Episode 167/500 | Reward: 83.0 | Epsilon: 0.185
Episode 168/500 | Reward: -50.0 | Epsilon: 0.183
Episode 169/500 | Reward: -67.0 | Epsilon: 0.181
Episode 170/500 | Reward: -300.0 | Epsilon: 0.179
Episode 171/500 | Reward: -320.0 | Epsilon: 0.178
Episode 172/500 | Reward: -11.0 | Epsilon: 0.176
Episode 173/500 | Reward: 11.0 | Epsilon: 0.174
Episode 174/500 | Reward: 59.0 | Epsilon: 0.172
Episode 175/500 | Reward: -320.0 | Epsilon: 0.171
Episode 176/500 | Reward: 91.0 | Epsilon: 0.169
Episode 177/500 | Reward: -44.0 | Epsilon: 0.167
Episode 178/500 | Reward: -330.0 | Epsilon: 0.165
Episode 179/500 | Reward: -335.0 | Epsilon: 0.164
Episode 180/500 | Reward: 21.0 | Epsilon: 0.162
Episode 181/500 | Reward: 79.0 | Epsilon: 0.161
Episode 182/500 | Reward: -325.0 | Epsilon: 0.159
Episode 183/500 | Reward: 23.0 | Epsilon: 0.157
Episode 184/500 | Reward: -47.0 | Epsilon: 0.156
Episode 185/500 | Reward: -335.0 | Epsilon: 0.154
Episode 186/500 | Reward: -315.0 | Epsilon: 0.153
Episode 187/500 | Reward: -330.0 | Epsilon: 0.151
Episode 188/500 | Reward: 91.0 | Epsilon: 0.150
Episode 189/500 | Reward: -335.0 | Epsilon: 0.148
Episode 190/500 | Reward: 87.0 | Epsilon: 0.147
Episode 191/500 | Reward: -320.0 | Epsilon: 0.145
Episode 192/500 | Reward: -310.0 | Epsilon: 0.144
Episode 193/500 | Reward: -320.0 | Epsilon: 0.142
Episode 194/500 | Reward: 67.0 | Epsilon: 0.141
Episode 195/500 | Reward: -315.0 | Epsilon: 0.139
Episode 196/500 | Reward: -320.0 | Epsilon: 0.138
Episode 197/500 | Reward: 47.0 | Epsilon: 0.137
Episode 198/500 | Reward: 30.0 | Epsilon: 0.135
Episode 199/500 | Reward: -325.0 | Epsilon: 0.134
Episode 200/500 | Reward: 95.0 | Epsilon: 0.133
Episode 201/500 | Reward: -310.0 | Epsilon: 0.131
Episode 202/500 | Reward: 59.0 | Epsilon: 0.130
Episode 203/500 | Reward: 31.0 | Epsilon: 0.129
Episode 204/500 | Reward: 87.0 | Epsilon: 0.127
Episode 205/500 | Reward: -330.0 | Epsilon: 0.126
Episode 206/500 | Reward: 63.0 | Epsilon: 0.125
Episode 207/500 | Reward: 36.0 | Epsilon: 0.124
Episode 208/500 | Reward: -315.0 | Epsilon: 0.122
Episode 209/500 | Reward: 67.0 | Epsilon: 0.121
Episode 210/500 | Reward: -315.0 | Epsilon: 0.120
Episode 211/500 | Reward: -325.0 | Epsilon: 0.119
Episode 212/500 | Reward: 3.0 | Epsilon: 0.118
Episode 213/500 | Reward: -325.0 | Epsilon: 0.116
Episode 214/500 | Reward: 31.0 | Epsilon: 0.115
Episode 215/500 | Reward: -325.0 | Epsilon: 0.114
Episode 216/500 | Reward: -223.0 | Epsilon: 0.113
Episode 217/500 | Reward: -325.0 | Epsilon: 0.112
Episode 218/500 | Reward: -315.0 | Epsilon: 0.111
Episode 219/500 | Reward: 91.0 | Epsilon: 0.110
Episode 220/500 | Reward: -315.0 | Epsilon: 0.108
Episode 221/500 | Reward: -330.0 | Epsilon: 0.107
Episode 222/500 | Reward: -80.0 | Epsilon: 0.106
Episode 223/500 | Reward: 95.0 | Epsilon: 0.105
Episode 224/500 | Reward: -20.0 | Epsilon: 0.104
Episode 225/500 | Reward: -315.0 | Epsilon: 0.103
Episode 226/500 | Reward: -58.0 | Epsilon: 0.102
Episode 227/500 | Reward: -44.0 | Epsilon: 0.101
Episode 228/500 | Reward: -330.0 | Epsilon: 0.100
Episode 229/500 | Reward: -62.0 | Epsilon: 0.100
Episode 230/500 | Reward: -97.0 | Epsilon: 0.100
Episode 231/500 | Reward: -335.0 | Epsilon: 0.100
Episode 232/500 | Reward: -310.0 | Epsilon: 0.100
Episode 233/500 | Reward: 91.0 | Epsilon: 0.100
Episode 234/500 | Reward: -144.0 | Epsilon: 0.100
Episode 235/500 | Reward: 87.0 | Epsilon: 0.100
Episode 236/500 | Reward: -79.0 | Epsilon: 0.100
Episode 237/500 | Reward: 43.0 | Epsilon: 0.100
Episode 238/500 | Reward: -335.0 | Epsilon: 0.100
Episode 239/500 | Reward: 67.0 | Epsilon: 0.100
Episode 240/500 | Reward: -10.0 | Epsilon: 0.100
Episode 241/500 | Reward: -345.0 | Epsilon: 0.100
Episode 242/500 | Reward: -11.0 | Epsilon: 0.100
Episode 243/500 | Reward: 87.0 | Epsilon: 0.100
Episode 244/500 | Reward: -186.0 | Epsilon: 0.100
Episode 245/500 | Reward: 10.0 | Epsilon: 0.100
Episode 246/500 | Reward: 95.0 | Epsilon: 0.100
Episode 247/500 | Reward: -325.0 | Epsilon: 0.100
Episode 248/500 | Reward: 7.0 | Epsilon: 0.100
Episode 249/500 | Reward: -340.0 | Epsilon: 0.100
Episode 250/500 | Reward: -330.0 | Epsilon: 0.100
💾 Checkpoint sauvegardé : models/doom_dqn_ep250.pth
Episode 251/500 | Reward: -116.0 | Epsilon: 0.100
Episode 252/500 | Reward: 62.0 | Epsilon: 0.100
Episode 253/500 | Reward: 63.0 | Epsilon: 0.100
Episode 254/500 | Reward: -121.0 | Epsilon: 0.100
Episode 255/500 | Reward: -335.0 | Epsilon: 0.100
Episode 256/500 | Reward: 43.0 | Epsilon: 0.100
Episode 257/500 | Reward: -72.0 | Epsilon: 0.100
Episode 258/500 | Reward: 31.0 | Epsilon: 0.100
Episode 259/500 | Reward: 50.0 | Epsilon: 0.100
Episode 260/500 | Reward: -325.0 | Epsilon: 0.100
Episode 261/500 | Reward: -134.0 | Epsilon: 0.100
Episode 262/500 | Reward: -320.0 | Epsilon: 0.100
Episode 263/500 | Reward: 95.0 | Epsilon: 0.100
Episode 264/500 | Reward: -87.0 | Epsilon: 0.100
Episode 265/500 | Reward: -32.0 | Epsilon: 0.100
Episode 266/500 | Reward: -325.0 | Epsilon: 0.100
Episode 267/500 | Reward: -330.0 | Epsilon: 0.100
Episode 268/500 | Reward: -305.0 | Epsilon: 0.100
Episode 269/500 | Reward: -2.0 | Epsilon: 0.100
Episode 270/500 | Reward: -330.0 | Epsilon: 0.100
Episode 271/500 | Reward: -17.0 | Epsilon: 0.100
Episode 272/500 | Reward: 26.0 | Epsilon: 0.100
Episode 273/500 | Reward: 95.0 | Epsilon: 0.100
Episode 274/500 | Reward: 51.0 | Epsilon: 0.100
Episode 275/500 | Reward: -325.0 | Epsilon: 0.100
Episode 276/500 | Reward: -330.0 | Epsilon: 0.100
Episode 277/500 | Reward: 95.0 | Epsilon: 0.100
Episode 278/500 | Reward: -320.0 | Epsilon: 0.100
Episode 279/500 | Reward: 87.0 | Epsilon: 0.100
Episode 280/500 | Reward: -335.0 | Epsilon: 0.100
Episode 281/500 | Reward: 51.0 | Epsilon: 0.100
Episode 282/500 | Reward: 62.0 | Epsilon: 0.100
Episode 283/500 | Reward: -136.0 | Epsilon: 0.100
Episode 284/500 | Reward: -185.0 | Epsilon: 0.100
Episode 285/500 | Reward: -340.0 | Epsilon: 0.100
Episode 286/500 | Reward: 23.0 | Epsilon: 0.100
Episode 287/500 | Reward: 63.0 | Epsilon: 0.100
Episode 288/500 | Reward: -39.0 | Epsilon: 0.100
Episode 289/500 | Reward: -325.0 | Epsilon: 0.100
Episode 290/500 | Reward: -122.0 | Epsilon: 0.100
Episode 291/500 | Reward: -330.0 | Epsilon: 0.100
Episode 292/500 | Reward: 18.0 | Epsilon: 0.100
Episode 293/500 | Reward: -22.0 | Epsilon: 0.100
Episode 294/500 | Reward: 95.0 | Epsilon: 0.100
Episode 295/500 | Reward: -335.0 | Epsilon: 0.100
Episode 296/500 | Reward: -305.0 | Epsilon: 0.100
Episode 297/500 | Reward: 11.0 | Epsilon: 0.100
Episode 298/500 | Reward: 55.0 | Epsilon: 0.100
Episode 299/500 | Reward: 95.0 | Epsilon: 0.100
Episode 300/500 | Reward: -330.0 | Epsilon: 0.100
Episode 301/500 | Reward: 30.0 | Epsilon: 0.100
Episode 302/500 | Reward: -345.0 | Epsilon: 0.100
Episode 303/500 | Reward: -190.0 | Epsilon: 0.100
Episode 304/500 | Reward: -325.0 | Epsilon: 0.100
Episode 305/500 | Reward: 50.0 | Epsilon: 0.100
Episode 306/500 | Reward: -335.0 | Epsilon: 0.100
Episode 307/500 | Reward: -46.0 | Epsilon: 0.100
Episode 308/500 | Reward: -1.0 | Epsilon: 0.100
Episode 309/500 | Reward: -340.0 | Epsilon: 0.100
Episode 310/500 | Reward: 87.0 | Epsilon: 0.100
Episode 311/500 | Reward: -345.0 | Epsilon: 0.100
Episode 312/500 | Reward: -320.0 | Epsilon: 0.100
Episode 313/500 | Reward: 87.0 | Epsilon: 0.100
Episode 314/500 | Reward: 75.0 | Epsilon: 0.100
Episode 315/500 | Reward: 71.0 | Epsilon: 0.100
Episode 316/500 | Reward: -330.0 | Epsilon: 0.100
Episode 317/500 | Reward: 21.0 | Epsilon: 0.100
Episode 318/500 | Reward: -330.0 | Epsilon: 0.100
Episode 319/500 | Reward: 67.0 | Epsilon: 0.100
Episode 320/500 | Reward: -315.0 | Epsilon: 0.100
Episode 321/500 | Reward: 7.0 | Epsilon: 0.100
Episode 322/500 | Reward: 87.0 | Epsilon: 0.100
Episode 323/500 | Reward: 50.0 | Epsilon: 0.100
Episode 324/500 | Reward: 95.0 | Epsilon: 0.100
