Episode 145/1000 | Reward: -14.7 | Epsilon: 0.231
Episode 146/1000 | Reward: -25.1 | Epsilon: 0.228
Episode 147/1000 | Reward: -4.0 | Epsilon: 0.226
Episode 148/1000 | Reward: -23.1 | Epsilon: 0.224
Episode 149/1000 | Reward: -4.0 | Epsilon: 0.221
Episode 150/1000 | Reward: -38.3 | Epsilon: 0.219
Episode 151/1000 | Reward: -4.3 | Epsilon: 0.217
Episode 152/1000 | Reward: -13.0 | Epsilon: 0.215
Episode 153/1000 | Reward: -4.2 | Epsilon: 0.213
Episode 154/1000 | Reward: -10.4 | Epsilon: 0.211
Episode 155/1000 | Reward: -10.9 | Epsilon: 0.208
Episode 156/1000 | Reward: -4.8 | Epsilon: 0.206
Episode 157/1000 | Reward: -5.2 | Epsilon: 0.204
Episode 158/1000 | Reward: -4.8 | Epsilon: 0.202
Episode 159/1000 | Reward: -3.0 | Epsilon: 0.200
Episode 160/1000 | Reward: -4.1 | Epsilon: 0.198
Episode 161/1000 | Reward: -5.0 | Epsilon: 0.196
Episode 162/1000 | Reward: -15.7 | Epsilon: 0.194
Episode 163/1000 | Reward: -21.3 | Epsilon: 0.192
Episode 164/1000 | Reward: -5.5 | Epsilon: 0.190
Episode 165/1000 | Reward: -5.0 | Epsilon: 0.189
Episode 166/1000 | Reward: -4.2 | Epsilon: 0.187
Episode 167/1000 | Reward: -9.7 | Epsilon: 0.185
Episode 168/1000 | Reward: -18.1 | Epsilon: 0.183
Episode 169/1000 | Reward: -4.3 | Epsilon: 0.181
Episode 170/1000 | Reward: -15.0 | Epsilon: 0.179
Episode 171/1000 | Reward: -5.1 | Epsilon: 0.178
Episode 172/1000 | Reward: -13.1 | Epsilon: 0.176
Episode 173/1000 | Reward: -5.4 | Epsilon: 0.174
Episode 174/1000 | Reward: -6.4 | Epsilon: 0.172
Episode 175/1000 | Reward: -8.1 | Epsilon: 0.171
Episode 176/1000 | Reward: -10.1 | Epsilon: 0.169
Episode 177/1000 | Reward: -5.5 | Epsilon: 0.167
Episode 178/1000 | Reward: -20.4 | Epsilon: 0.165
Episode 179/1000 | Reward: -4.1 | Epsilon: 0.164
Episode 180/1000 | Reward: -18.1 | Epsilon: 0.162
Episode 181/1000 | Reward: -5.4 | Epsilon: 0.161
Episode 182/1000 | Reward: -10.0 | Epsilon: 0.159
Episode 183/1000 | Reward: -5.2 | Epsilon: 0.157
Episode 184/1000 | Reward: -4.3 | Epsilon: 0.156
Episode 185/1000 | Reward: -5.6 | Epsilon: 0.154
Episode 186/1000 | Reward: -5.0 | Epsilon: 0.153
Episode 187/1000 | Reward: -9.4 | Epsilon: 0.151
Episode 188/1000 | Reward: -10.8 | Epsilon: 0.150
Episode 189/1000 | Reward: -15.2 | Epsilon: 0.148
Episode 190/1000 | Reward: -4.3 | Epsilon: 0.147
Episode 191/1000 | Reward: -4.0 | Epsilon: 0.145
Episode 192/1000 | Reward: -5.6 | Epsilon: 0.144
Episode 193/1000 | Reward: -3.0 | Epsilon: 0.142
Episode 194/1000 | Reward: -16.9 | Epsilon: 0.141
Episode 195/1000 | Reward: -37.2 | Epsilon: 0.139
Episode 196/1000 | Reward: -5.3 | Epsilon: 0.138
Episode 197/1000 | Reward: -4.8 | Epsilon: 0.137
Episode 198/1000 | Reward: -18.1 | Epsilon: 0.135
Episode 199/1000 | Reward: -6.0 | Epsilon: 0.134
Episode 200/1000 | Reward: -23.2 | Epsilon: 0.133
Episode 201/1000 | Reward: -4.7 | Epsilon: 0.131
Episode 202/1000 | Reward: -18.1 | Epsilon: 0.130
Episode 203/1000 | Reward: -16.4 | Epsilon: 0.129
Episode 204/1000 | Reward: -16.2 | Epsilon: 0.127
Episode 205/1000 | Reward: -4.5 | Epsilon: 0.126
Episode 206/1000 | Reward: -10.3 | Epsilon: 0.125
Episode 207/1000 | Reward: -13.1 | Epsilon: 0.124
Episode 208/1000 | Reward: -10.8 | Epsilon: 0.122
Episode 209/1000 | Reward: -8.1 | Epsilon: 0.121
Episode 210/1000 | Reward: -11.7 | Epsilon: 0.120
Episode 211/1000 | Reward: -5.4 | Epsilon: 0.119
Episode 212/1000 | Reward: -4.8 | Epsilon: 0.118
Episode 213/1000 | Reward: -4.8 | Epsilon: 0.116
Episode 214/1000 | Reward: -5.6 | Epsilon: 0.115
Episode 215/1000 | Reward: -4.1 | Epsilon: 0.114
Episode 216/1000 | Reward: -23.2 | Epsilon: 0.113
Episode 217/1000 | Reward: -5.9 | Epsilon: 0.112
Episode 218/1000 | Reward: -9.9 | Epsilon: 0.111
Episode 219/1000 | Reward: -16.3 | Epsilon: 0.110
Episode 220/1000 | Reward: -5.7 | Epsilon: 0.108
Episode 221/1000 | Reward: -4.8 | Epsilon: 0.107
Episode 222/1000 | Reward: -6.1 | Epsilon: 0.106
Episode 223/1000 | Reward: -3.0 | Epsilon: 0.105
Episode 224/1000 | Reward: -8.1 | Epsilon: 0.104
Episode 225/1000 | Reward: -6.3 | Epsilon: 0.103
Episode 226/1000 | Reward: -5.5 | Epsilon: 0.102
Episode 227/1000 | Reward: -4.7 | Epsilon: 0.101
Episode 228/1000 | Reward: -16.7 | Epsilon: 0.100
Episode 229/1000 | Reward: -11.8 | Epsilon: 0.099
Episode 230/1000 | Reward: -6.1 | Epsilon: 0.098
Episode 231/1000 | Reward: -3.0 | Epsilon: 0.097
Episode 232/1000 | Reward: -4.1 | Epsilon: 0.096
Episode 233/1000 | Reward: -4.3 | Epsilon: 0.095
Episode 234/1000 | Reward: -10.2 | Epsilon: 0.094
Episode 235/1000 | Reward: -10.5 | Epsilon: 0.093
Episode 236/1000 | Reward: -5.5 | Epsilon: 0.092
Episode 237/1000 | Reward: -6.7 | Epsilon: 0.091
Episode 238/1000 | Reward: -4.9 | Epsilon: 0.091
Episode 239/1000 | Reward: -8.1 | Epsilon: 0.090
Episode 240/1000 | Reward: -4.6 | Epsilon: 0.089
Episode 241/1000 | Reward: -8.1 | Epsilon: 0.088
Episode 242/1000 | Reward: -15.5 | Epsilon: 0.087
Episode 243/1000 | Reward: -3.0 | Epsilon: 0.086
Episode 244/1000 | Reward: -13.1 | Epsilon: 0.085
Episode 245/1000 | Reward: -6.7 | Epsilon: 0.084
Episode 246/1000 | Reward: -5.7 | Epsilon: 0.084
Episode 247/1000 | Reward: -4.3 | Epsilon: 0.083
Episode 248/1000 | Reward: -5.1 | Epsilon: 0.082
Episode 249/1000 | Reward: -8.1 | Epsilon: 0.081
Episode 250/1000 | Reward: -15.1 | Epsilon: 0.080
💾 Checkpoint sauvegardé : models/doom_dqn_ep250.pth
Episode 251/1000 | Reward: -8.1 | Epsilon: 0.079
Episode 252/1000 | Reward: -10.4 | Epsilon: 0.079
Episode 253/1000 | Reward: -16.5 | Epsilon: 0.078
Episode 254/1000 | Reward: -4.4 | Epsilon: 0.077
Episode 255/1000 | Reward: -5.7 | Epsilon: 0.076
Episode 256/1000 | Reward: -16.2 | Epsilon: 0.076
Episode 257/1000 | Reward: -6.6 | Epsilon: 0.075
Episode 258/1000 | Reward: -8.1 | Epsilon: 0.074
Episode 259/1000 | Reward: -3.0 | Epsilon: 0.073
Episode 260/1000 | Reward: -4.3 | Epsilon: 0.073
Episode 261/1000 | Reward: -4.4 | Epsilon: 0.072
Episode 262/1000 | Reward: -3.0 | Epsilon: 0.071
Episode 263/1000 | Reward: -5.2 | Epsilon: 0.070
Episode 264/1000 | Reward: -5.7 | Epsilon: 0.070
Episode 265/1000 | Reward: -8.1 | Epsilon: 0.069
Episode 266/1000 | Reward: -5.6 | Epsilon: 0.068
Episode 267/1000 | Reward: -4.2 | Epsilon: 0.068
Episode 268/1000 | Reward: -4.2 | Epsilon: 0.067
Episode 269/1000 | Reward: -3.0 | Epsilon: 0.066
Episode 270/1000 | Reward: -3.0 | Epsilon: 0.066
Episode 271/1000 | Reward: -5.1 | Epsilon: 0.065
Episode 272/1000 | Reward: -3.0 | Epsilon: 0.064
Episode 273/1000 | Reward: -3.0 | Epsilon: 0.064
Episode 274/1000 | Reward: -4.6 | Epsilon: 0.063
Episode 275/1000 | Reward: -8.1 | Epsilon: 0.062
Episode 276/1000 | Reward: -8.1 | Epsilon: 0.062
Episode 277/1000 | Reward: -5.8 | Epsilon: 0.061
Episode 278/1000 | Reward: -4.6 | Epsilon: 0.061
Episode 279/1000 | Reward: -5.0 | Epsilon: 0.060
Episode 280/1000 | Reward: -4.7 | Epsilon: 0.059
Episode 281/1000 | Reward: -3.0 | Epsilon: 0.059
Episode 282/1000 | Reward: -4.2 | Epsilon: 0.058
Episode 283/1000 | Reward: -3.0 | Epsilon: 0.058
Episode 284/1000 | Reward: -3.0 | Epsilon: 0.057
Episode 285/1000 | Reward: -3.0 | Epsilon: 0.056
Episode 286/1000 | Reward: -5.3 | Epsilon: 0.056
Episode 287/1000 | Reward: -11.8 | Epsilon: 0.055
Episode 288/1000 | Reward: -4.7 | Epsilon: 0.055
Episode 289/1000 | Reward: -3.0 | Epsilon: 0.054
Episode 290/1000 | Reward: -8.1 | Epsilon: 0.054
Episode 291/1000 | Reward: -9.6 | Epsilon: 0.053
Episode 292/1000 | Reward: -8.1 | Epsilon: 0.053
Episode 293/1000 | Reward: -5.2 | Epsilon: 0.052
Episode 294/1000 | Reward: -5.9 | Epsilon: 0.052
Episode 295/1000 | Reward: -5.5 | Epsilon: 0.051
Episode 296/1000 | Reward: -5.0 | Epsilon: 0.051
Episode 297/1000 | Reward: -3.0 | Epsilon: 0.050
Episode 298/1000 | Reward: -5.0 | Epsilon: 0.050
Episode 299/1000 | Reward: -5.2 | Epsilon: 0.049
Episode 300/1000 | Reward: -4.7 | Epsilon: 0.049
Episode 301/1000 | Reward: -3.0 | Epsilon: 0.048
Episode 302/1000 | Reward: -4.5 | Epsilon: 0.048
Episode 303/1000 | Reward: -3.0 | Epsilon: 0.047
Episode 304/1000 | Reward: -4.6 | Epsilon: 0.047
Episode 305/1000 | Reward: -7.0 | Epsilon: 0.046
Episode 306/1000 | Reward: -6.4 | Epsilon: 0.046
Episode 307/1000 | Reward: -3.0 | Epsilon: 0.045
Episode 308/1000 | Reward: -5.5 | Epsilon: 0.045
Episode 309/1000 | Reward: -3.0 | Epsilon: 0.044
Episode 310/1000 | Reward: -4.3 | Epsilon: 0.044
Episode 311/1000 | Reward: -3.0 | Epsilon: 0.043
Episode 312/1000 | Reward: -3.0 | Epsilon: 0.043
Episode 313/1000 | Reward: -4.2 | Epsilon: 0.043
Episode 314/1000 | Reward: -3.0 | Epsilon: 0.042
Episode 315/1000 | Reward: -8.1 | Epsilon: 0.042
Episode 316/1000 | Reward: -6.0 | Epsilon: 0.041
Episode 317/1000 | Reward: -3.0 | Epsilon: 0.041
Episode 318/1000 | Reward: -8.1 | Epsilon: 0.041
Episode 319/1000 | Reward: -3.0 | Epsilon: 0.040
Episode 320/1000 | Reward: -6.9 | Epsilon: 0.040
Episode 321/1000 | Reward: -6.3 | Epsilon: 0.039
Episode 322/1000 | Reward: -5.4 | Epsilon: 0.039
Episode 323/1000 | Reward: -10.5 | Epsilon: 0.039
Episode 324/1000 | Reward: -5.0 | Epsilon: 0.038
Episode 325/1000 | Reward: -8.1 | Epsilon: 0.038
Episode 326/1000 | Reward: -4.6 | Epsilon: 0.037
Episode 327/1000 | Reward: -3.0 | Epsilon: 0.037
Episode 328/1000 | Reward: -4.1 | Epsilon: 0.037
Episode 329/1000 | Reward: -11.6 | Epsilon: 0.036
Episode 330/1000 | Reward: -8.1 | Epsilon: 0.036
Episode 331/1000 | Reward: -11.8 | Epsilon: 0.036
Episode 332/1000 | Reward: -3.0 | Epsilon: 0.035
Episode 333/1000 | Reward: -11.3 | Epsilon: 0.035
Episode 334/1000 | Reward: -7.0 | Epsilon: 0.034
Episode 335/1000 | Reward: -3.0 | Epsilon: 0.034
Episode 336/1000 | Reward: -6.5 | Epsilon: 0.034
Episode 337/1000 | Reward: -4.8 | Epsilon: 0.033
Episode 338/1000 | Reward: -8.1 | Epsilon: 0.033
Episode 339/1000 | Reward: -5.9 | Epsilon: 0.033
Episode 340/1000 | Reward: -3.0 | Epsilon: 0.032
Episode 341/1000 | Reward: -3.0 | Epsilon: 0.032
Episode 342/1000 | Reward: -4.5 | Epsilon: 0.032
Episode 343/1000 | Reward: -3.0 | Epsilon: 0.032
Episode 344/1000 | Reward: -3.0 | Epsilon: 0.031
Episode 345/1000 | Reward: -5.8 | Epsilon: 0.031
Episode 346/1000 | Reward: -5.8 | Epsilon: 0.031
Episode 347/1000 | Reward: -3.0 | Epsilon: 0.030
Episode 348/1000 | Reward: -4.4 | Epsilon: 0.030
Episode 349/1000 | Reward: -3.0 | Epsilon: 0.030
Episode 350/1000 | Reward: -3.0 | Epsilon: 0.029
Episode 351/1000 | Reward: -3.0 | Epsilon: 0.029
Episode 352/1000 | Reward: -8.1 | Epsilon: 0.029
Episode 353/1000 | Reward: -8.1 | Epsilon: 0.029
Episode 354/1000 | Reward: -8.1 | Epsilon: 0.028
Episode 355/1000 | Reward: -4.3 | Epsilon: 0.028
Episode 356/1000 | Reward: -3.0 | Epsilon: 0.028
Episode 357/1000 | Reward: -8.1 | Epsilon: 0.027
Episode 358/1000 | Reward: -6.7 | Epsilon: 0.027
Episode 359/1000 | Reward: -6.1 | Epsilon: 0.027
Episode 360/1000 | Reward: -3.0 | Epsilon: 0.027
Episode 361/1000 | Reward: -3.0 | Epsilon: 0.026
Episode 362/1000 | Reward: -3.0 | Epsilon: 0.026
Episode 363/1000 | Reward: -8.1 | Epsilon: 0.026
Episode 364/1000 | Reward: -8.1 | Epsilon: 0.026
Episode 365/1000 | Reward: -4.7 | Epsilon: 0.025
Episode 366/1000 | Reward: -6.4 | Epsilon: 0.025
Episode 367/1000 | Reward: -3.0 | Epsilon: 0.025
Episode 368/1000 | Reward: -3.0 | Epsilon: 0.025
Episode 369/1000 | Reward: -4.1 | Epsilon: 0.024
Episode 370/1000 | Reward: -4.0 | Epsilon: 0.024
Episode 371/1000 | Reward: -13.1 | Epsilon: 0.024
Episode 372/1000 | Reward: -4.5 | Epsilon: 0.024
Episode 373/1000 | Reward: -3.0 | Epsilon: 0.023
Episode 374/1000 | Reward: -4.1 | Epsilon: 0.023
Episode 375/1000 | Reward: -8.1 | Epsilon: 0.023
Episode 376/1000 | Reward: -3.0 | Epsilon: 0.023
Episode 377/1000 | Reward: -3.0 | Epsilon: 0.022
Episode 378/1000 | Reward: -3.0 | Epsilon: 0.022
Episode 379/1000 | Reward: -3.0 | Epsilon: 0.022
Episode 380/1000 | Reward: -13.1 | Epsilon: 0.022
Episode 381/1000 | Reward: -6.1 | Epsilon: 0.022
Episode 382/1000 | Reward: -5.0 | Epsilon: 0.021
Episode 383/1000 | Reward: -3.0 | Epsilon: 0.021
Episode 384/1000 | Reward: -3.0 | Epsilon: 0.021
Episode 385/1000 | Reward: -3.0 | Epsilon: 0.021
Episode 386/1000 | Reward: -3.0 | Epsilon: 0.020
Episode 387/1000 | Reward: -3.0 | Epsilon: 0.020
Episode 388/1000 | Reward: -3.0 | Epsilon: 0.020
Episode 389/1000 | Reward: -3.0 | Epsilon: 0.020
Episode 390/1000 | Reward: -3.0 | Epsilon: 0.020
Episode 391/1000 | Reward: -3.0 | Epsilon: 0.019
Episode 392/1000 | Reward: -8.1 | Epsilon: 0.019
Episode 393/1000 | Reward: -5.7 | Epsilon: 0.019
Episode 394/1000 | Reward: -3.0 | Epsilon: 0.019
Episode 395/1000 | Reward: -6.4 | Epsilon: 0.019
Episode 396/1000 | Reward: -4.1 | Epsilon: 0.019
Episode 397/1000 | Reward: -8.1 | Epsilon: 0.018
Episode 398/1000 | Reward: -3.0 | Epsilon: 0.018
Episode 399/1000 | Reward: -8.1 | Epsilon: 0.018
Episode 400/1000 | Reward: -8.1 | Epsilon: 0.018
Episode 401/1000 | Reward: -3.0 | Epsilon: 0.018
Episode 402/1000 | Reward: -3.0 | Epsilon: 0.017
Episode 403/1000 | Reward: -3.0 | Epsilon: 0.017
Episode 404/1000 | Reward: -8.1 | Epsilon: 0.017
Episode 405/1000 | Reward: -3.0 | Epsilon: 0.017
Episode 406/1000 | Reward: -5.7 | Epsilon: 0.017
Episode 407/1000 | Reward: -5.3 | Epsilon: 0.017
Episode 408/1000 | Reward: -6.5 | Epsilon: 0.016
Episode 409/1000 | Reward: -3.0 | Epsilon: 0.016
Episode 410/1000 | Reward: -3.0 | Epsilon: 0.016
Episode 411/1000 | Reward: -3.0 | Epsilon: 0.016
Episode 412/1000 | Reward: -3.0 | Epsilon: 0.016
Episode 413/1000 | Reward: -3.0 | Epsilon: 0.016
Episode 414/1000 | Reward: -3.0 | Epsilon: 0.015
Episode 415/1000 | Reward: -3.0 | Epsilon: 0.015
Episode 416/1000 | Reward: -3.0 | Epsilon: 0.015
